"Package","Version"
"brant","0.3-0"
"car","3.1-2"
"carData","3.0-5"
"cli","3.6.3"
"corrplot","0.92"
"cowplot","1.1.3"
"devtools","2.4.3"
"dplyr","1.1.4"
"effects","4.2-2"
"estimability","1.5.1"
"ggdark","0.2.1"
"ggplot2","3.5.1"
"ggpubr","0.6.0"
"ggrepel","0.9.5"
"ggsci","3.2.0"
"ggsignif","0.6.4"
"gridExtra","2.3"
"lifecycle","1.0.4"
"mitools","2.4"
"numDeriv","2016.8-1.1"
"pillar","1.9.0"
"plyr","1.8.7"
"polynom","1.4-1"
"purrr","1.0.2"
"rlang","1.1.4"
"rstatix","0.7.2"
"scales","1.3.0"
"shinyscreenshot","0.2.0"
"stringr","1.5.1"
"tibble","3.2.1"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"vctrs","0.6.5"
"withr","3.0.1"
"abind","1.4-5"
"askpass","1.1"
"assertthat","0.2.1"
"backports","1.2.1"
"base","4.1.1"
"base64enc","0.1-3"
"billboarder","0.3.1"
"bit","4.0.4"
"bit64","4.0.5"
"blob","1.2.2"
"boot","1.3-28"
"brew","1.0-6"
"brio","1.1.2"
"broom","0.7.9"
"bslib","0.2.5.1"
"cachem","1.0.6"
"callr","3.7.0"
"cellranger","1.1.0"
"class","7.3-19"
"cli","3.3.0"
"clipr","0.7.1"
"cluster","2.1.2"
"codetools","0.2-18"
"collections","0.3.5"
"colorspace","2.0-2"
"commonmark","1.7"
"compiler","4.1.1"
"cpp11","0.4.2"
"crayon","1.4.1"
"credentials","1.3.1"
"crosstalk","1.1.1"
"curl","4.3.2"
"cyclocomp","1.1.0"
"data.table","1.14.2"
"datasets","4.1.1"
"DBI","1.1.1"
"dbplyr","2.1.1"
"DEoptim","2.2-6"
"desc","1.3.0"
"devtools","2.4.3"
"diffobj","0.3.4"
"digest","0.6.27"
"dplyr","1.0.7"
"DT","0.23"
"dtplyr","1.1.0"
"ellipsis","0.3.2"
"ethdashboard","0.1.0"
"evaluate","0.14"
"fansi","0.5.0"
"farver","2.1.0"
"fastmap","1.1.0"
"forcats","0.5.1"
"foreign","0.8-81"
"fs","1.5.0"
"gargle","1.2.0"
"generics","0.1.0"
"gert","1.3.2"
"ggplot2","3.3.5"
"ggrepel","0.9.1"
"gh","1.3.0"
"gitcreds","0.1.1"
"glue","1.6.2"
"googledrive","2.0.0"
"googlesheets4","1.0.0"
"graphics","4.1.1"
"grDevices","4.1.1"
"grid","4.1.1"
"gtable","0.3.0"
"haven","2.4.3"
"highr","0.9"
"hms","1.1.0"
"htmltools","0.5.2"
"htmlwidgets","1.5.3"
"httpuv","1.6.2"
"httr","1.4.2"
"ids","1.0.1"
"ini","0.3.1"
"insight","0.15.0"
"isoband","0.2.5"
"jquerylib","0.1.4"
"jsonlite","1.7.2"
"kableExtra","1.3.4"
"KernSmooth","2.23-20"
"knitr","1.33"
"labeling","0.4.2"
"languageserver","0.3.12"
"later","1.3.0"
"lattice","0.20-44"
"lazyeval","0.2.2"
"lifecycle","1.0.0"
"lintr","2.0.1"
"lubridate","1.7.10"
"magrittr","2.0.1"
"markdown","1.1"
"MASS","7.3-54"
"Matrix","1.3-4"
"memoise","2.0.0"
"methods","4.1.1"
"mgcv","1.8-36"
"mime","0.11"
"modelr","0.1.8"
"munsell","0.5.0"
"nlme","3.1-152"
"nloptr","1.2.2.2"
"nnet","7.3-16"
"openssl","1.4.4"
"packrat","0.7.0"
"parallel","4.1.1"
"pillar","1.7.0"
"pkgbuild","1.2.0"
"pkgconfig","2.0.3"
"pkgload","1.2.1"
"plogr","0.2.0"
"plotly","4.9.4.1"
"plyr","1.8.7"
"praise","1.0.0"
"prettyunits","1.1.1"
"processx","3.5.2"
"progress","1.2.2"
"promises","1.2.0.1"
"ps","1.6.0"
"purrr","0.3.4"
"qwraps2","0.5.2"
"R.cache","0.15.0"
"R.methodsS3","1.8.1"
"R.oo","1.24.0"
"R.utils","2.11.0"
"R6","2.5.1"
"rappdirs","0.3.3"
"rcmdcheck","1.3.3"
"RColorBrewer","1.1-3"
"Rcpp","1.0.7"
"RcppArmadillo","0.10.7.5.0"
"readr","2.1.2"
"readxl","1.4.0"
"rematch","1.0.1"
"rematch2","2.1.2"
"remotes","2.4.0"
"reprex","2.0.1"
"rex","1.2.1"
"rlang","1.0.2"
"rmarkdown","2.14"
"roxygen2","7.1.1"
"rpart","4.1-15"
"rprojroot","2.0.2"
"rrscale","1.0"
"rsconnect","0.8.24"
"RSQLite","2.2.14"
"rstudioapi","0.13"
"rversions","2.1.1"
"rvest","1.0.1"
"sass","0.4.0"
"scales","1.2.0"
"scrypt","0.1.4"
"selectr","0.4-2"
"sessioninfo","1.1.1"
"shiny","1.6.0"
"shinyauthr","1.0.0"
"shinydashboard","0.7.1"
"shinyjs","2.1.0"
"shinymanager","1.0.400"
"shinyWidgets","0.6.0"
"sjlabelled","1.1.8"
"sodium","1.2.1"
"sourcetools","0.1.7"
"spatial","7.3-14"
"splines","4.1.1"
"stats","4.1.1"
"stats4","4.1.1"
"stringi","1.7.3"
"stringr","1.4.0"
"styler","1.7.0"
"survival","3.2-11"
"svglite","2.0.0"
"sys","3.4"
"systemfonts","1.0.4"
"tcltk","4.1.1"
"testthat","3.0.4"
"tibble","3.1.7"
"tidyr","1.1.3"
"tidyselect","1.1.1"
"tidyverse","1.3.1"
"tinytex","0.33"
"tools","4.1.1"
"tzdb","0.1.2"
"usethis","2.0.1"
"utf8","1.2.2"
"utils","4.1.1"
"uuid","0.1-4"
"vctrs","0.3.8"
"viridisLite","0.4.0"
"vroom","1.5.7"
"vtable","1.3.3"
"waldo","0.3.0"
"webshot","0.5.3"
"wesanderson","0.3.6"
"whisker","0.4"
"withr","2.4.2"
"xfun","0.30"
"xml2","1.3.2"
"xmlparsedata","1.0.5"
"xopen","1.0.0"
"xtable","1.8-4"
"yaml","2.2.1"
"zip","2.2.0"
